,a2_i,a2_j,a1_i,a1_j,b2_i,b2_j,b1_i,b1_j,y1,y2
272,1.0,3.0,4.0,1.0,5.0,3.0,3.0,2.0,0.0,1.0
273,0.0,3.0,5.0,1.0,6.0,3.0,4.0,2.0,1.0,1.0
274,0.0,4.0,6.0,1.0,6.0,3.0,4.0,2.0,1.0,1.0
275,0.0,4.0,5.0,1.0,6.0,3.0,4.0,2.0,1.0,1.0
276,0.0,3.0,4.0,1.0,6.0,2.0,4.0,3.0,1.0,2.0
277,0.0,4.0,3.0,1.0,6.0,2.0,5.0,3.0,1.0,2.0
278,1.0,4.0,3.0,2.0,6.0,1.0,5.0,2.0,0.0,2.0
279,2.0,4.0,3.0,2.0,6.0,1.0,5.0,3.0,0.0,2.0
280,2.0,3.0,3.0,1.0,6.0,1.0,4.0,3.0,0.0,2.0
281,2.0,4.0,4.0,1.0,6.0,2.0,4.0,3.0,0.0,2.0
282,1.0,4.0,3.0,1.0,6.0,1.0,3.0,3.0,0.0,2.0
283,0.0,4.0,3.0,1.0,6.0,1.0,4.0,3.0,1.0,2.0
284,0.0,4.0,3.0,2.0,6.0,1.0,4.0,4.0,1.0,2.0
285,0.0,3.0,4.0,2.0,6.0,0.0,4.0,4.0,3.0,2.0
286,1.0,3.0,4.0,1.0,6.0,1.0,3.0,4.0,0.0,2.0
287,1.0,4.0,5.0,1.0,5.0,1.0,3.0,3.0,0.0,0.0
288,1.0,5.0,5.0,2.0,5.0,2.0,3.0,3.0,0.0,0.0
289,0.0,5.0,5.0,2.0,6.0,2.0,3.0,4.0,1.0,2.0
290,0.0,5.0,5.0,3.0,6.0,2.0,3.0,5.0,1.0,2.0
291,0.0,5.0,5.0,3.0,6.0,2.0,2.0,5.0,1.0,2.0
292,1.0,5.0,5.0,2.0,6.0,2.0,2.0,5.0,0.0,2.0
293,2.0,5.0,5.0,3.0,6.0,2.0,1.0,5.0,2.0,2.0
294,1.0,5.0,6.0,3.0,6.0,1.0,1.0,4.0,1.0,3.0
295,0.0,5.0,6.0,3.0,6.0,1.0,2.0,4.0,1.0,3.0
296,0.0,5.0,6.0,3.0,6.0,0.0,2.0,3.0,1.0,3.0
297,0.0,6.0,6.0,3.0,6.0,1.0,3.0,3.0,2.0,3.0
298,0.0,6.0,6.0,3.0,5.0,1.0,2.0,3.0,2.0,3.0
299,1.0,6.0,5.0,3.0,6.0,1.0,2.0,2.0,0.0,3.0
300,1.0,5.0,6.0,3.0,6.0,2.0,2.0,3.0,1.0,3.0
301,1.0,5.0,6.0,4.0,6.0,2.0,3.0,3.0,0.0,3.0
302,1.0,5.0,6.0,3.0,6.0,2.0,2.0,3.0,1.0,3.0
303,1.0,4.0,6.0,3.0,6.0,2.0,1.0,3.0,1.0,3.0
304,1.0,4.0,6.0,4.0,6.0,2.0,1.0,3.0,1.0,3.0
305,1.0,3.0,5.0,4.0,6.0,2.0,0.0,3.0,2.0,3.0
306,2.0,3.0,5.0,5.0,6.0,2.0,1.0,3.0,2.0,3.0
307,2.0,3.0,5.0,4.0,5.0,2.0,1.0,3.0,2.0,3.0
308,2.0,2.0,5.0,4.0,5.0,3.0,1.0,3.0,2.0,3.0
309,2.0,1.0,6.0,4.0,4.0,3.0,0.0,3.0,2.0,0.0
310,3.0,1.0,5.0,4.0,3.0,3.0,0.0,3.0,2.0,0.0
311,3.0,2.0,5.0,4.0,4.0,3.0,0.0,4.0,2.0,0.0
312,4.0,2.0,5.0,4.0,5.0,3.0,0.0,4.0,2.0,3.0
313,4.0,2.0,5.0,4.0,6.0,3.0,0.0,4.0,2.0,2.0
314,4.0,3.0,6.0,4.0,6.0,2.0,1.0,4.0,2.0,3.0
315,4.0,2.0,6.0,3.0,6.0,1.0,0.0,4.0,2.0,3.0
316,5.0,2.0,6.0,4.0,6.0,1.0,0.0,4.0,2.0,3.0
317,4.0,2.0,6.0,4.0,6.0,2.0,0.0,5.0,2.0,3.0
318,5.0,2.0,6.0,5.0,6.0,1.0,0.0,5.0,2.0,3.0
319,5.0,3.0,6.0,6.0,6.0,2.0,0.0,5.0,2.0,3.0
320,4.0,3.0,6.0,5.0,5.0,2.0,0.0,6.0,2.0,3.0
321,4.0,3.0,6.0,5.0,5.0,2.0,0.0,6.0,2.0,3.0
322,5.0,3.0,6.0,4.0,5.0,3.0,0.0,6.0,2.0,0.0
323,6.0,3.0,5.0,4.0,5.0,2.0,0.0,6.0,3.0,3.0
324,6.0,3.0,5.0,4.0,6.0,2.0,0.0,5.0,3.0,3.0
325,6.0,3.0,5.0,5.0,6.0,2.0,0.0,5.0,3.0,3.0
